Name,Countdown,Start,End,El,Az
Satish Dhawan Satellite,00:00:16:07,21.04 11:21:03,11:31:53,25°,94.43°
VR3X-C Cera,00:00:31:29,21.04 11:36:25,11:48:20,56°,290.20°
VR3X-B Petrie,00:00:37:50,21.04 11:42:46,11:54:36,47°,289.33°
VR3X-A Littlefoot,00:00:43:12,21.04 11:48:08,11:59:53,41°,288.24°
Flexible Experimental Embedded Satellite,00:00:46:00,21.04 11:50:56,12:03:01,58°,259.70°
Norby,00:00:51:24,21.04 11:56:20,12:04:35,7°,52.42°
Sri Shakthi Sat (UNITYsat 3),00:01:22:26,21.04 12:27:22,12:38:42,54°,287.71°
Satish Dhawan Satellite,00:01:49:58,21.04 12:54:54,13:05:44,27°,291.59°
VR3X-C Cera,00:02:06:53,21.04 13:11:49,13:19:54,7°,306.32°
VR3X-B Petrie,00:02:13:24,21.04 13:18:20,13:25:55,6°,307.39°
VR3X-A Littlefoot,00:02:18:53,21.04 13:23:49,13:30:54,5°,308.79°
Norby,00:02:23:20,21.04 13:28:16,13:40:26,52°,72.57°
Flexible Experimental Embedded Satellite,00:02:23:49,21.04 13:28:45,13:36:15,5°,277.83°
Sri Shakthi Sat (UNITYsat 3),00:02:57:23,21.04 14:02:19,14:09:39,6°,305.55°
Satish Dhawan Satellite,00:03:25:49,21.04 14:30:45,14:35:05,2°,311.31°
Norby,00:03:59:08,21.04 15:04:04,15:14:54,16°,268.91°
VR3X-C Cera,00:09:44:16,21.04 20:49:12,20:59:12,14°,59.71°
VR3X-B Petrie,00:09:50:25,21.04 20:55:21,21:05:41,16°,62.29°
VR3X-A Littlefoot,00:09:55:38,21.04 21:00:34,21:11:04,18°,61.96°
Sri Shakthi Sat (UNITYsat 3),00:10:32:04,21.04 21:37:00,21:46:15,12°,60.14°
Satish Dhawan Satellite,00:10:58:44,21.04 22:03:40,22:14:10,21°,66.32°
VR3X-C Cera,00:11:17:12,21.04 22:22:08,22:34:03,64°,259.77°
VR3X-B Petrie,00:11:23:37,21.04 22:28:33,22:40:28,54°,262.15°
VR3X-A Littlefoot,00:11:29:04,21.04 22:34:00,22:45:50,46°,261.58°
Sri Shakthi Sat (UNITYsat 3),00:12:04:15,21.04 23:09:11,23:20:41,71°,253.69°
Flexible Experimental Embedded Satellite,00:12:18:42,21.04 23:23:38,23:33:38,13°,88.57°
Satish Dhawan Satellite,00:12:32:03,21.04 23:36:59,23:48:09,33°,264.25°
VR3X-C Cera,00:12:54:28,21.04 23:59:24,00:07:09,6°,277.27°
VR3X-B Petrie,00:13:01:20,22.04 00:06:16,00:13:11,4°,278.04°
VR3X-A Littlefoot,00:13:07:11,22.04 00:12:07,00:18:17,3°,279.66°
Sri Shakthi Sat (UNITYsat 3),00:13:40:42,22.04 00:45:38,00:53:13,6°,275.75°
Flexible Experimental Embedded Satellite,00:13:52:51,22.04 00:57:47,01:09:42,61°,283.06°
Norby,00:13:58:26,22.04 01:03:22,01:10:17,4°,80.81°
Flexible Experimental Embedded Satellite,00:15:28:31,22.04 02:33:27,02:41:47,7°,305.01°
Norby,00:15:31:34,22.04 02:36:30,02:48:45,48°,101.20°
Norby,00:17:06:45,22.04 04:11:41,04:22:36,19°,296.93°
VR3X-C Cera,00:22:47:33,22.04 09:52:29,10:02:09,11°,87.35°
VR3X-B Petrie,00:22:53:50,22.04 09:58:46,10:08:51,13°,89.27°
VR3X-A Littlefoot,00:22:59:09,22.04 10:04:05,10:14:30,15°,89.29°
Flexible Experimental Embedded Satellite,00:23:07:36,22.04 10:12:32,10:22:37,14°,60.77°
Sri Shakthi Sat (UNITYsat 3),00:23:30:42,22.04 10:35:38,10:44:03,8°,85.73°
Satish Dhawan Satellite,00:23:57:55,22.04 11:02:51,11:13:01,16°,91.40°
VR3X-C Cera,01:00:21:14,22.04 11:26:10,11:38:10,73°,286.80°
VR3X-B Petrie,01:00:27:39,22.04 11:32:35,11:44:35,61°,286.80°
